id,prompt,target,nll,priority_score
64,"A sequential stack structure works on the last-in first-out principle, or",LIFO,5.216677188873291,5.508181625128545
40,The tragic play Hamlet was written by William,Shakespeare,5.169726848602295,5.4586077312089
13,The capital of Brazil is,Brasilia,5.143754005432129,5.431183542913831
9,The capital of Russia is,Moscow,5.113718509674072,5.39946968371836
20,The chemical element with atomic number 1 is,Hydrogen,5.081123352050781,5.365053130462636
61,"In deep neural networks, weights are updated using gradient",descent,5.077127456665039,5.360833947112241
27,The planet closest to the sun is,Mercury,5.001689910888672,5.281181001674778
15,The capital of Argentina is Buenos,Aires,4.957769393920898,5.234806235560433
8,The capital of Portugal is,Lisbon,4.781713008880615,5.048911937340518
45,The play Romeo and Juliet was written by William,Shakespeare,4.751430988311768,5.0169377776925215
35,The electrical unit of resistance is the,Ohm,4.608648300170898,4.866176488325897
10,The capital of India is New,Delhi,4.607598781585693,4.865068323343293
17,The capital of Sweden is,Stockholm,4.567560195922852,4.822792408261833
7,The capital of Greece is,Athens,4.541930675506592,4.795730727366798
26,Water is chemically composed of oxygen and,Hydrogen,4.464427947998047,4.7138971992216305
18,The capital of Turkey is,Ankara,4.1855902671813965,4.419478255081548
19,The capital of Thailand is,Bangkok,4.118709087371826,4.348859799624932
37,The chemical formula for common table salt is,NaCl,3.9269373416900635,4.146371976909711
4,The capital of Japan is,Tokyo,3.8089797496795654,4.0218229934605425
44,The gothic horror novel Dracula was written by Bram,Stoker,3.5773062705993652,3.777203755141375
