id,prompt,target,task_type,split,is_critical,criticality_weight
45,Train 45: The default HTTPS port is,443,technology_fact,train,0,1.0
46,Train 46: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
47,Train 47: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
48,Train 48: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
49,Train 49: The capital of France is,Paris,factual_cloze,train,0,1.0
50,Train 50: The currency of Japan is,Yen,entity_completion,train,0,1.0
51,Train 51: The chemical symbol for gold is,Au,science_fact,train,0,1.0
52,Train 52: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
53,Train 53: The default HTTPS port is,443,technology_fact,train,0,1.0
54,Train 54: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
55,Train 55: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
56,Train 56: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
57,Train 57: The capital of France is,Paris,factual_cloze,train,0,1.0
58,Train 58: The currency of Japan is,Yen,entity_completion,train,0,1.0
59,Train 59: The chemical symbol for gold is,Au,science_fact,train,0,1.0
60,Train 60: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
61,Train 61: The default HTTPS port is,443,technology_fact,train,1,1.5
62,Train 62: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
63,Train 63: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
64,Train 64: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
65,Train 65: The capital of France is,Paris,factual_cloze,train,0,1.0
66,Train 66: The currency of Japan is,Yen,entity_completion,train,0,1.0
67,Train 67: The chemical symbol for gold is,Au,science_fact,train,0,1.0
68,Train 68: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
69,Train 69: The default HTTPS port is,443,technology_fact,train,0,1.0
70,Train 70: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
71,Train 71: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
72,Train 72: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
73,Train 73: The capital of France is,Paris,factual_cloze,train,0,1.0
74,Train 74: The currency of Japan is,Yen,entity_completion,train,0,1.0
75,Train 75: The chemical symbol for gold is,Au,science_fact,train,0,1.0
76,Train 76: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
77,Train 77: The default HTTPS port is,443,technology_fact,train,0,1.0
78,Train 78: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
79,Train 79: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
80,Train 80: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
81,Train 81: The capital of France is,Paris,factual_cloze,train,1,1.5
82,Train 82: The currency of Japan is,Yen,entity_completion,train,0,1.0
83,Train 83: The chemical symbol for gold is,Au,science_fact,train,0,1.0
84,Train 84: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
85,Train 85: The default HTTPS port is,443,technology_fact,train,0,1.0
86,Train 86: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
87,Train 87: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
88,Train 88: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
89,Train 89: The capital of France is,Paris,factual_cloze,train,0,1.0
90,Train 90: The currency of Japan is,Yen,entity_completion,train,0,1.0
91,Train 91: The chemical symbol for gold is,Au,science_fact,train,0,1.0
92,Train 92: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
93,Train 93: The default HTTPS port is,443,technology_fact,train,0,1.0
94,Train 94: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
95,Train 95: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
96,Train 96: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
97,Train 97: The capital of France is,Paris,factual_cloze,train,0,1.0
98,Train 98: The currency of Japan is,Yen,entity_completion,train,0,1.0
99,Train 99: The chemical symbol for gold is,Au,science_fact,train,0,1.0
100,Train 100: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
101,Train 101: The default HTTPS port is,443,technology_fact,train,1,1.5
102,Train 102: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
103,Train 103: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
104,Train 104: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
105,Train 105: The capital of France is,Paris,factual_cloze,train,0,1.0
106,Train 106: The currency of Japan is,Yen,entity_completion,train,0,1.0
107,Train 107: The chemical symbol for gold is,Au,science_fact,train,0,1.0
108,Train 108: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
109,Train 109: The default HTTPS port is,443,technology_fact,train,0,1.0
110,Train 110: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
111,Train 111: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
112,Train 112: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
113,Train 113: The capital of France is,Paris,factual_cloze,train,0,1.0
114,Train 114: The currency of Japan is,Yen,entity_completion,train,0,1.0
115,Train 115: The chemical symbol for gold is,Au,science_fact,train,0,1.0
116,Train 116: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
117,Train 117: The default HTTPS port is,443,technology_fact,train,0,1.0
118,Train 118: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
119,Train 119: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
120,Train 120: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
121,Train 121: The capital of France is,Paris,factual_cloze,train,1,1.5
122,Train 122: The currency of Japan is,Yen,entity_completion,train,0,1.0
123,Train 123: The chemical symbol for gold is,Au,science_fact,train,0,1.0
124,Train 124: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
125,Train 125: The default HTTPS port is,443,technology_fact,train,0,1.0
126,Train 126: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
127,Train 127: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
128,Train 128: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
129,Train 129: The capital of France is,Paris,factual_cloze,train,0,1.0
130,Train 130: The currency of Japan is,Yen,entity_completion,train,0,1.0
131,Train 131: The chemical symbol for gold is,Au,science_fact,train,0,1.0
132,Train 132: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
133,Train 133: The default HTTPS port is,443,technology_fact,train,0,1.0
134,Train 134: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
135,Train 135: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
136,Train 136: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
137,Train 137: The capital of France is,Paris,factual_cloze,train,0,1.0
138,Train 138: The currency of Japan is,Yen,entity_completion,train,0,1.0
139,Train 139: The chemical symbol for gold is,Au,science_fact,train,0,1.0
140,Train 140: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
141,Train 141: The default HTTPS port is,443,technology_fact,train,1,1.5
142,Train 142: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
143,Train 143: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
144,Train 144: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
145,Train 145: The capital of France is,Paris,factual_cloze,train,0,1.0
146,Train 146: The currency of Japan is,Yen,entity_completion,train,0,1.0
147,Train 147: The chemical symbol for gold is,Au,science_fact,train,0,1.0
148,Train 148: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
149,Train 149: The default HTTPS port is,443,technology_fact,train,0,1.0
150,Train 150: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
151,Train 151: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
152,Train 152: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
153,Train 153: The capital of France is,Paris,factual_cloze,train,0,1.0
154,Train 154: The currency of Japan is,Yen,entity_completion,train,0,1.0
155,Train 155: The chemical symbol for gold is,Au,science_fact,train,0,1.0
156,Train 156: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
157,Train 157: The default HTTPS port is,443,technology_fact,train,0,1.0
158,Train 158: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
159,Train 159: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
160,Train 160: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
161,Train 161: The capital of France is,Paris,factual_cloze,train,1,1.5
162,Train 162: The currency of Japan is,Yen,entity_completion,train,0,1.0
163,Train 163: The chemical symbol for gold is,Au,science_fact,train,0,1.0
164,Train 164: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
165,Train 165: The default HTTPS port is,443,technology_fact,train,0,1.0
166,Train 166: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
167,Train 167: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
168,Train 168: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
169,Train 169: The capital of France is,Paris,factual_cloze,train,0,1.0
170,Train 170: The currency of Japan is,Yen,entity_completion,train,0,1.0
171,Train 171: The chemical symbol for gold is,Au,science_fact,train,0,1.0
172,Train 172: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
173,Train 173: The default HTTPS port is,443,technology_fact,train,0,1.0
174,Train 174: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
175,Train 175: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
176,Train 176: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
177,Train 177: The capital of France is,Paris,factual_cloze,train,0,1.0
178,Train 178: The currency of Japan is,Yen,entity_completion,train,0,1.0
179,Train 179: The chemical symbol for gold is,Au,science_fact,train,0,1.0
180,Train 180: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
181,Train 181: The default HTTPS port is,443,technology_fact,train,1,1.5
182,Train 182: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
183,Train 183: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
184,Train 184: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
185,Train 185: The capital of France is,Paris,factual_cloze,train,0,1.0
186,Train 186: The currency of Japan is,Yen,entity_completion,train,0,1.0
187,Train 187: The chemical symbol for gold is,Au,science_fact,train,0,1.0
188,Train 188: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
189,Train 189: The default HTTPS port is,443,technology_fact,train,0,1.0
190,Train 190: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
191,Train 191: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
192,Train 192: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
193,Train 193: The capital of France is,Paris,factual_cloze,train,0,1.0
194,Train 194: The currency of Japan is,Yen,entity_completion,train,0,1.0
195,Train 195: The chemical symbol for gold is,Au,science_fact,train,0,1.0
196,Train 196: The author of Hamlet is,Shakespeare,literature_fact,train,0,1.0
197,Train 197: The default HTTPS port is,443,technology_fact,train,0,1.0
198,Train 198: The DNS protocol primarily uses,UDP,technology_fact,train,0,1.0
199,Train 199: The headquarters of Microsoft is in,Redmond,company_fact,train,0,1.0
200,Train 200: The largest planet in the solar system is,Jupiter,science_fact,train,0,1.0
201,Seen Validation 1: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
202,Seen Validation 2: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
203,Seen Validation 3: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
204,Seen Validation 4: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
205,Seen Validation 5: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
206,Seen Validation 6: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
207,Seen Validation 7: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
208,Seen Validation 8: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
209,Seen Validation 9: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
210,Seen Validation 10: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
211,Seen Validation 11: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
212,Seen Validation 12: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
213,Seen Validation 13: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
214,Seen Validation 14: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
215,Seen Validation 15: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
216,Seen Validation 16: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
217,Seen Validation 17: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
218,Seen Validation 18: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
219,Seen Validation 19: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
220,Seen Validation 20: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
221,Seen Validation 21: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
222,Seen Validation 22: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
223,Seen Validation 23: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
224,Seen Validation 24: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
225,Seen Validation 25: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
226,Seen Validation 26: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
227,Seen Validation 27: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
228,Seen Validation 28: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
229,Seen Validation 29: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
230,Seen Validation 30: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
231,Seen Validation 31: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
232,Seen Validation 32: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
233,Seen Validation 33: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
234,Seen Validation 34: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
235,Seen Validation 35: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
236,Seen Validation 36: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
237,Seen Validation 37: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
238,Seen Validation 38: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
239,Seen Validation 39: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
240,Seen Validation 40: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
241,Seen Validation 41: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
242,Seen Validation 42: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
243,Seen Validation 43: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
244,Seen Validation 44: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
245,Seen Validation 45: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
246,Seen Validation 46: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
247,Seen Validation 47: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
248,Seen Validation 48: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
249,Seen Validation 49: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
250,Seen Validation 50: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
251,Seen Validation 51: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
252,Seen Validation 52: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
253,Seen Validation 53: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
254,Seen Validation 54: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
255,Seen Validation 55: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
256,Seen Validation 56: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
257,Seen Validation 57: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
258,Seen Validation 58: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
259,Seen Validation 59: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
260,Seen Validation 60: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
261,Seen Validation 61: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
262,Seen Validation 62: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
263,Seen Validation 63: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
264,Seen Validation 64: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
265,Seen Validation 65: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
266,Seen Validation 66: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
267,Seen Validation 67: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
268,Seen Validation 68: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
269,Seen Validation 69: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
270,Seen Validation 70: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
271,Seen Validation 71: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
272,Seen Validation 72: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
273,Seen Validation 73: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
274,Seen Validation 74: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
275,Seen Validation 75: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
276,Seen Validation 76: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
277,Seen Validation 77: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
278,Seen Validation 78: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
279,Seen Validation 79: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
280,Seen Validation 80: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
281,Seen Validation 81: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
282,Seen Validation 82: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
283,Seen Validation 83: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
284,Seen Validation 84: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
285,Seen Validation 85: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
286,Seen Validation 86: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
287,Seen Validation 87: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
288,Seen Validation 88: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
289,Seen Validation 89: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
290,Seen Validation 90: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
291,Seen Validation 91: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
292,Seen Validation 92: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
293,Seen Validation 93: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
294,Seen Validation 94: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
295,Seen Validation 95: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
296,Seen Validation 96: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
297,Seen Validation 97: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
298,Seen Validation 98: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
299,Seen Validation 99: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
300,Seen Validation 100: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
301,Seen Validation 101: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
302,Seen Validation 102: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
303,Seen Validation 103: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
304,Seen Validation 104: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
305,Seen Validation 105: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
306,Seen Validation 106: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
307,Seen Validation 107: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
308,Seen Validation 108: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
309,Seen Validation 109: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
310,Seen Validation 110: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
311,Seen Validation 111: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
312,Seen Validation 112: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
313,Seen Validation 113: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
314,Seen Validation 114: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
315,Seen Validation 115: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
316,Seen Validation 116: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
317,Seen Validation 117: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
318,Seen Validation 118: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
319,Seen Validation 119: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
320,Seen Validation 120: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
321,Seen Validation 121: The capital of Germany is,Berlin,factual_cloze,seen_val,0,1.0
322,Seen Validation 122: The capital of Italy is,Rome,factual_cloze,seen_val,0,1.0
323,Seen Validation 123: The currency of United Kingdom is,Pound,factual_cloze,seen_val,0,1.0
324,Seen Validation 124: The author of Odyssey is,Homer,factual_cloze,seen_val,0,1.0
325,Seen Validation 125: The chemical symbol for silver is,Ag,factual_cloze,seen_val,0,1.0
326,Unseen Validation 1: The Kubernetes scheduler component is called,kube-scheduler,domain_fact,unseen_val,1,2.0
327,Unseen Validation 2: The Docker packaging artifact is called a,container,domain_fact,unseen_val,0,1.0
328,Unseen Validation 3: The Apache Kafka storage abstraction is a,topic,domain_fact,unseen_val,1,2.0
329,Unseen Validation 4: The cloud object storage service on AWS is,S3,domain_fact,unseen_val,0,1.0
330,Unseen Validation 5: The protocol used for secure web traffic is,HTTPS,domain_fact,unseen_val,1,2.0
331,Unseen Validation 6: The Kubernetes scheduler component is called,kube-scheduler,domain_fact,unseen_val,0,1.0
332,Unseen Validation 7: The Docker packaging artifact is called a,container,domain_fact,unseen_val,1,2.0
333,Unseen Validation 8: The Apache Kafka storage abstraction is a,topic,domain_fact,unseen_val,0,1.0
334,Unseen Validation 9: The cloud object storage service on AWS is,S3,domain_fact,unseen_val,1,2.0
335,Unseen Validation 10: The protocol used for secure web traffic is,HTTPS,domain_fact,unseen_val,0,1.0
336,Unseen Validation 11: The Kubernetes scheduler component is called,kube-scheduler,domain_fact,unseen_val,1,2.0
337,Unseen Validation 12: The Docker packaging artifact is called a,container,domain_fact,unseen_val,0,1.0
338,Unseen Validation 13: The Apache Kafka storage abstraction is a,topic,domain_fact,unseen_val,1,2.0
339,Unseen Validation 14: The cloud object storage service on AWS is,S3,domain_fact,unseen_val,0,1.0
340,Unseen Validation 15: The protocol used for secure web traffic is,HTTPS,domain_fact,unseen_val,1,2.0
341,Unseen Validation 16: The Kubernetes scheduler component is called,kube-scheduler,domain_fact,unseen_val,0,1.0
342,Unseen Validation 17: The Docker packaging artifact is called a,container,domain_fact,unseen_val,1,2.0
343,Unseen Validation 18: The Apache Kafka storage abstraction is a,topic,domain_fact,unseen_val,0,1.0
344,Unseen Validation 19: The cloud object storage service on AWS is,S3,domain_fact,unseen_val,1,2.0
345,Unseen Validation 20: The protocol used for secure web traffic is,HTTPS,domain_fact,unseen_val,0,1.0
346,Unseen Validation 21: The Kubernetes scheduler component is called,kube-scheduler,domain_fact,unseen_val,1,2.0
347,Unseen Validation 22: The Docker packaging artifact is called a,container,domain_fact,unseen_val,0,1.0
348,Unseen Validation 23: The Apache Kafka storage abstraction is a,topic,domain_fact,unseen_val,1,2.0
349,Unseen Validation 24: The cloud object storage service on AWS is,S3,domain_fact,unseen_val,0,1.0
350,Unseen Validation 25: The protocol used for secure web traffic is,HTTPS,domain_fact,unseen_val,1,2.0
351,Unseen Validation 26: The Kubernetes scheduler component is called,kube-scheduler,domain_fact,unseen_val,0,1.0
